0,2
1,2
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,2
17,1
18,1
19,2
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,2
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,2
44,2
45,2
46,2
47,1
48,1
49,1
50,1
51,1
52,2
53,1
54,1
55,1
56,1
57,2
58,1
59,1
60,2
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,2
70,1
71,1
72,1
73,2
74,1
75,1
76,2
77,2
78,1
79,2
80,2
81,1
82,1
83,1
84,2
85,2
86,1
87,1
88,2
89,1
90,1
91,2
92,2
93,1
94,1
95,1
96,1
97,2
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,2
111,1
112,2
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,2
123,1
124,1
125,1
126,2
127,2
128,1
129,1
130,1
131,2
132,1
133,1
134,1
135,1
136,1
137,1
138,2
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,2
151,1
152,1
153,1
154,2
155,1
156,1
157,1
158,1
159,1
160,2
161,1
162,1
163,1
164,2
165,1
166,2
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,2
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,2
191,2
192,1
193,2
194,1
195,1
196,1
197,1
198,1
199,1
200,2
201,1
202,2
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,2
211,1
212,1
213,1
214,1
215,2
216,1
217,1
218,1
219,1
220,2
221,1
222,1
223,2
224,1
225,2
226,2
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,2
239,2
240,1
241,1
242,1
243,1
244,2
245,2
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,2
269,1
270,1
271,1
272,1
273,2
274,1
275,1
276,2
277,1
278,1
279,2
280,1
281,1
282,1
283,1
284,2
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,2
300,1
301,1
302,1
303,2
304,1
305,1
306,1
307,1
308,1
309,1
310,2
311,1
312,1
313,1
314,2
315,1
316,1
317,1
318,2
319,2
320,1
321,1
322,1
323,1
324,1
325,2
326,1
327,2
328,1
329,1
330,1
331,1
332,1
333,1
334,2
335,2
336,1
337,1
338,1
339,1
340,1
341,1
342,1
