548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,2
560,2
561,1
562,1
563,1
564,2
565,2
566,2
567,1
568,1
569,1
570,2
571,1
572,1
573,1
574,1
575,1
576,1
577,2
578,1
579,2
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,2
599,1
600,2
601,1
602,2
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,2
621,2
622,1
623,1
624,1
625,1
626,1
627,2
628,1
629,1
630,1
631,1
632,1
633,1
634,2
635,2
636,2
637,1
638,1
639,1
640,1
641,1
642,2
643,1
644,1
645,1
646,1
647,2
648,1
649,1
650,1
651,1
652,1
653,1
654,2
655,1
656,1
657,2
658,1
659,1
660,2
661,1
662,1
663,1
664,1
665,2
666,1
667,1
668,1
669,2
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,2
685,1
686,1
687,2
688,1
689,1
690,1
691,1
692,2
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,2
703,1
704,1
705,2
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,2
714,1
715,1
716,2
717,1
718,2
719,1
720,1
721,1
722,1
723,1
724,1
725,2
726,1
727,1
728,1
729,1
730,2
731,1
732,2
733,1
734,2
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,2
748,1
749,2
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,2
758,1
759,1
760,2
761,1
762,1
763,1
764,2
765,1
766,1
767,1
768,2
769,2
770,1
771,1
772,2
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,2
781,1
782,1
783,1
784,2
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,2
793,1
794,2
795,1
796,1
797,1
798,2
799,1
800,1
801,2
802,1
803,1
804,1
805,2
